datetime,open,high,low,close,volume
2020-09-10 14:44:00,380.42001,380.42001,380.07001,380.07001,2141
2020-09-10 14:45:00,380.14999,380.20001,380.04501,380.20001,1415
2020-09-10 14:46:00,380.98001,380.98999,380.98001,380.98999,2166
2020-09-10 14:48:00,380.78000,380.94000,380.78000,380.94000,618
2020-09-10 14:49:00,380.85999,381.05939,380.85999,381.05939,2125
2020-09-10 14:50:00,381.20999,381.20999,381.20999,381.20999,767
2020-09-10 14:51:00,380.84000,380.84000,380.60001,380.60001,2363
2020-09-10 14:53:00,380.25000,380.25000,380.25000,380.25000,1638
2020-09-10 14:55:00,380.60779,380.60779,380.60779,380.60779,1604
2020-09-10 14:56:00,381.38501,381.38501,381.38501,381.38501,199
2020-09-10 14:57:00,381.51501,381.88000,381.51501,381.88000,1490
2020-09-10 14:58:00,381.31000,381.31000,381.31000,381.31000,804
2020-09-10 14:59:00,381.07001,381.22000,381.07001,381.22000,2726
2020-09-10 15:01:00,381.09500,381.09500,380.75000,380.75000,1302
2020-09-10 15:02:00,380.48001,380.48001,380.37000,380.37000,2518
2020-09-10 15:05:00,380.42999,380.42999,380.42999,380.42999,1091
2020-09-10 15:06:00,380.22989,380.52750,380.22989,380.52499,1922
2020-09-10 15:07:00,380.70999,380.70999,380.70999,380.70999,2016
2020-09-10 15:09:00,380.14999,380.14999,380.14001,380.14001,1957
2020-09-10 15:10:00,379.83160,379.83160,379.78000,379.78000,1558
2020-09-10 15:11:00,379.79001,379.89301,379.79001,379.89301,958
2020-09-10 15:12:00,379.79501,379.94501,379.79501,379.94501,1450
2020-09-10 15:13:00,380.08640,380.08640,380.08640,380.08640,2252
2020-09-10 15:15:00,379.70999,379.70999,379.50000,379.50000,6809
2020-09-10 15:16:00,379.01999,379.01999,378.56400,378.82999,4194
2020-09-10 15:18:00,379.09000,379.10001,378.85501,379.10001,1479
2020-09-10 15:19:00,379.16000,379.16000,378.76001,378.76001,1224
2020-09-10 15:20:00,378.75000,378.75000,378.75000,378.75000,3616
2020-09-10 15:21:00,378.76001,378.76001,378.64499,378.64499,3331
2020-09-10 15:22:00,378.61938,379.19000,378.61938,379.17999,3228
2020-09-10 15:23:00,379.04001,379.04001,379.01001,379.01001,2010
2020-09-10 15:24:00,378.75000,378.75000,378.32999,378.63141,2551
2020-09-10 15:25:00,378.60001,378.60001,378.58801,378.59000,2702
2020-09-10 15:26:00,378.71500,378.71500,378.43320,378.43320,984
2020-09-10 15:27:00,378.34500,378.59000,378.34500,378.59000,4380
2020-09-10 15:28:00,379.31000,379.31000,379.31000,379.31000,1338
2020-09-10 15:29:00,379.70251,379.70251,379.70251,379.70251,2170
2020-09-10 15:30:00,379.13000,379.13000,379.13000,379.13000,1376
2020-09-10 15:31:00,379.60999,379.60999,379.00000,379.01999,2031
2020-09-10 15:32:00,379.13751,379.13751,379.13751,379.13751,2722
2020-09-10 15:33:00,379.35370,379.48999,379.35370,379.48999,2489
2020-09-10 15:34:00,379.48999,379.48999,379.48999,379.48999,5102
2020-09-10 15:35:00,379.29999,379.29999,379.12000,379.12000,1584
2020-09-10 15:36:00,379.23001,379.38599,379.23001,379.30499,5120
2020-09-10 15:37:00,379.20001,379.20001,379.16000,379.16000,1288
2020-09-10 15:38:00,379.07999,379.07999,378.73999,378.74609,3499
2020-09-10 15:39:00,379.04001,379.43991,378.98010,379.43991,3510
2020-09-10 15:40:00,379.26999,379.42999,379.25000,379.42999,2915
2020-09-10 15:41:00,379.63000,379.70001,379.63000,379.70001,8261
2020-09-10 15:42:00,379.98999,379.98999,379.89999,379.89999,1929
2020-09-10 15:43:00,379.90811,380.45999,379.90811,380.45999,5947
2020-09-10 15:44:00,380.14001,380.39001,380.14001,380.39001,1563
2020-09-10 15:45:00,380.19000,380.19000,380.19000,380.19000,2123
2020-09-10 15:46:00,380.01001,380.01001,379.92621,379.95999,3428
2020-09-10 15:47:00,379.69000,379.69000,379.69000,379.69000,669
2020-09-10 15:48:00,379.57001,379.70129,379.43500,379.43500,4323
2020-09-10 15:49:00,379.09329,379.09329,378.96500,379.00809,3505
2020-09-10 15:50:00,379.03000,379.20999,378.63010,379.14001,9316
2020-09-10 15:51:00,378.88000,379.23001,378.88000,379.23001,4250
